last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Walsh, Jared,665120,2022,0.221,0.368,0.278,0.28,0.274,0.147,0.374,0.376,90.1,10.7,9.5,
Pena, Jeremy,665161,2022,0.248,0.397,0.309,0.3,0.285,0.149,0.388,0.376,88.1,8.7,9.7,
Celestino, Gilberto,665482,2022,0.219,0.294,0.28,0.27,0.297,0.075,0.312,0.298,87.3,-1.9,2.5,
Guerrero Jr., Vladimir,665489,2022,0.276,0.462,0.351,0.348,0.342,0.185,0.391,0.387,92.8,4.3,11.2,
Pache, Cristian,665506,2022,0.228,0.3,0.207,0.259,0.276,0.072,0.247,0.326,89.4,3.8,3.4,
Soto, Juan,665742,2022,0.266,0.501,0.376,0.401,0.42,0.235,0.363,0.402,91,9.1,12.4,
Taveras, Leody,665750,2022,0.23,0.322,0.297,0.27,0.281,0.092,0.372,0.332,89.3,12,4.3,
Cruz, Oneil,665833,2022,0.223,0.41,0.32,0.304,0.286,0.188,0.466,0.439,91.9,8.3,15.5,
Chisholm Jr., Jazz,665862,2022,0.242,0.473,0.365,0.345,0.32,0.23,0.473,0.442,90.4,15.5,16.7,
Gimenez, Andres,665926,2022,0.257,0.4,0.364,0.326,0.336,0.143,0.422,0.368,87.8,11.7,6.2,
Lux, Gavin,666158,2022,0.247,0.372,0.328,0.314,0.325,0.124,0.372,0.351,88,6.8,6.1,
Adell, Jo,666176,2022,0.201,0.315,0.278,0.251,0.245,0.114,0.423,0.375,87.4,16.7,9.9,
Bichette, Bo,666182,2022,0.278,0.444,0.347,0.334,0.322,0.166,0.426,0.408,91.9,8.5,9.6,
Carlson, Dylan,666185,2022,0.234,0.355,0.306,0.301,0.316,0.121,0.333,0.326,86.1,12.9,4.4,
Morel, Christopher,666624,2022,0.233,0.435,0.322,0.324,0.307,0.202,0.441,0.447,89.6,9.1,13.4,
Castro, Rodolfo,666801,2022,0.21,0.354,0.314,0.28,0.276,0.144,0.395,0.344,87.3,11.7,6.7,
Dalbec, Bobby,666915,2022,0.216,0.379,0.287,0.296,0.287,0.163,0.39,0.406,90.3,15.2,11.8,
Garcia, Adolis,666969,2022,0.244,0.447,0.324,0.322,0.296,0.204,0.425,0.422,92.1,13.2,12.9,
Gurriel Jr., Lourdes,666971,2022,0.273,0.4,0.327,0.321,0.328,0.127,0.364,0.356,90.6,10.9,3.8,
Arozarena, Randy,668227,2022,0.234,0.382,0.336,0.301,0.301,0.148,0.411,0.36,89.9,8.8,7.9,
Bleday, JJ,668709,2022,0.19,0.315,0.266,0.28,0.297,0.126,0.296,0.32,86.3,25,8.6,
